Nombre_Original,Nombre_Comparado,Similitud (%)
"COLEGIO""CENTRO DE FORMACIÓN PROFESIONAL PRE UNIVERSITARIA DEL CICLO DIVERSIFICADO","COLEGIO""CENTRO DE FORMACIÓN PROFESIONAL PREUNIVERSITARIA DEL CICLO DIVERSIFICADO",99.37888198757764
COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACIÓN INTEGRAL EN COMPUTACIÓN CEIF COMP,"COLEGIO EDUCATIVO PRIVADO MIXTO DE FORMACIÓN INTEGRAL EN COMPUTACIÓN, CEIF COMP",99.36305732484077
INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD INTECAP,"INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD, INTECAP",99.1304347826087
INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO INTECPADI,"INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO, INTECPADI",99.09909909909909
"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA , PRONEA",99.00990099009901
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA, INED",99.00990099009901
CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON CEPREC,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON CEPREC,99.00990099009901
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA INED,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, INED",99.00990099009901
"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA",PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA PRONEA,98.98989898989899
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA",98.98989898989899
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,PROGRAMA NACIONA DE EDUCACIÓN ALTERNATIVA PRONEA,98.96907216494846
CENTRO EDUCATIVO IMB PC EN LINEA (IMB PC ONLINE),"CENTRO EDUCATIVO IMB PC EN LINEA, (IMB PC ONLINE)",98.96907216494846
COLEGIO BILINGÜE DE COMPUTACIÓN C.B.C. EL CARMEN,COLEGIO BILINGÜE DE COMPUTACIÓN C.B.C EL CARMEN,98.94736842105263
CENTRO EDUCACIONAL DE CIENCIAS CONTABLES CECON,CENTRO EDUCACIONAL DE CIENCIAS CONTABLES CECCON,98.9247311827957
COLEGIO MIXTO PRE UNIVERSITARIO GALILEO GALILEI,COLEGIO MIXTO PREUNIVERSITARIO GALILEO GALILEI,98.9247311827957
